"","Drill bit","Mean Thrust","Mean Torque","Degradation","Max Thrust","Max Torque","Area","Correlation","RUL"
"1","d10h1","244.606366666667","15.6061241919192","0.0392001583844783","361.21","27.925","4597.31846305705","0.78033109823563","22"
"2","d10h10","258.428346919431","18.8055866824645","0.0417739061571966","420.94","34.906","4262.60580793","0.904921083859693","13"
"3","d10h11","259.542038356164","18.1945131050228","0.0433577509404078","420.94","32.579","3961.80273828004","0.909226090164346","12"
"4","d10h12","240.983795378151","17.2895713445378","0.0471193823005345","430.91","32.246","3909.28688307502","0.932576909281246","11"
"5","d10h13","247.300914345992","17.909579535865","0.0469214017026331","412.4","32.911","3834.62506903999","0.9247752572731","10"
"6","d10h14","263.194508444444","19.1041171555556","0.0445456345278163","406.7","32.911","3857.78865390993","0.904481949069774","9"
"7","d10h15","261.453376824034","19.0174580686695","0.0461294793110275","413.82","34.574","3759.7856438501","0.903301924834965","8"
"8","d10h16","273.234332599119","20.5862173127753","0.0449415957236191","512.36","40.557","3823.44859525503","0.932608235244124","7"
"9","d10h17","280.09391460177","20.7832695132743","0.0447436151257177","500.69","40.89","4059.80955179001","0.937274114181521","6"
"10","d10h18","277.222069955157","21.2178656053812","0.0441496733320135","506.53","41.887","4220.69523161999","0.923825306704531","5"
"11","d10h19","281.832608849558","21.1259840265487","0.0447436151257177","525.49","40.89","4364.61710720498","0.935820818000752","4"
"12","d10h2","252.65028040201","17.6058403517588","0.0393981389823797","373.55","29.587","4295.03312285501","0.825519920975369","21"
"13","d10h20","287.197089912281","21.7601203947368","0.0451395763215205","524.03","41.555","4362.58653196506","0.938618176454629","3"
"14","d10h21","293.392227802691","23.1826869506726","0.0441496733320135","525.49","45.544","5358.46188954997","0.925422578747948","2"
"15","d10h22","301.489037444934","23.6455611013216","0.0449415957236191","544.45","44.547","4653.29968329007","0.936900392416738","1"
"16","d10h23","266.5448875","24.2090822916667","0.0570184121956048","592.58","45.876","8601.21460182499","0.840851462293484","0"
"17","d10h3","259.668087064677","18.477620199005","0.0397941001781825","383.14","32.246","4376.85333497997","0.855822577865967","20"
"18","d10h4","253.9867591133","18.0319317241379","0.0401900613739853","390","30.917","3984.58914970991","0.872588421324539","19"
"19","d10h5","255.094046534653","17.7985894554455","0.0399920807760839","396.86","31.249","4229.113453225","0.877913309562786","18"
"20","d10h6","253.71751127451","17.7609884313725","0.0403880419718868","410.97","30.917","4025.68061851989","0.893992254788215","17"
"21","d10h7","257.124468811881","17.9072299504951","0.0399920807760839","428.06","31.249","3704.72239341505","0.904141152123458","16"
"22","d10h8","255.212618226601","17.9008987684729","0.0401900613739853","409.55","31.582","3954.11085168994","0.897561940499615","15"
"23","d10h9","250.820506730769","17.5552647596154","0.0411799643634924","418.09","31.914","3931.75953104999","0.904796078710736","14"
"158","d1h1","215.491266137566","13.1937655026455","0.040838375108038","311.93","27.26","4580.23956227","0.573100505512339","20"
"159","d1h10","254.641879903846","18.4167362019231","0.0449438202247191","433.89","31.249","4237.10608469741","0.882376425428071","11"
"160","d1h11","245.824137410714","17.448565","0.0484010371650821","442.44","31.249","4052.85614497901","0.908684512977097","10"
"161","d1h12","256.379655112108","18.2527531390135","0.0481849611063094","445.29","34.906","3842.84805268701","0.923890311445284","9"
"162","d1h13","269.841408518519","18.0162825","0.0466724286949006","472.34","32.246","3668.40637931204","0.912604998648604","8"
"163","d1h14","278.332385495495","20.5422396396396","0.0479688850475367","490.85","36.236","4137.95705549151","0.91934347049991","7"
