0,0
0,0
2.1277,0
32.979,0
58.511,0
77.66,0
88.298,0
98.936,0
110.09,0
119.06,0
130.28,0
138.12,0
145.97,0
154.94,0
163.92,0
176.25,0.99731
180.73,0.66488
188.58,1.9946
198.68,2.3271
203.2,2.9919
206.6,3.3244
216.81,3.9893
220.21,4.6541
219.07,4.9866
227.01,5.6514
233.82,6.9812
238.35,7.3136
239.49,7.6461
245.16,8.3109
242.89,8.9758
251.96,9.6407
248.56,9.6407
250.83,10.638
253.09,10.97
265.57,12.633
259.9,13.63
257.63,12.965
262.17,13.63
262.17,13.962
267.84,13.962
268.97,15.292
275.78,16.289
274.64,17.287
279.18,17.287
281.45,19.614
295.05,21.608
292.79,19.614
287.12,18.617
281.45,18.284
280.31,17.952
287.12,19.614
295.05,21.941
296.19,23.603
304.99,23.603
293.92,21.941
293.92,20.611
293.92,19.946
289.38,19.281
291.65,20.279
298.46,21.276
304.99,21.941
300.88,22.273
306.36,23.936
306.36,23.271
306.36,22.938
315.96,24.268
314.59,25.265
320.07,26.263
326.93,23.936
303.62,22.938
314.59,27.26
311.84,25.93
317.33,26.595
318.7,26.595
342.01,25.598
315.96,24.268
318.7,26.263
321.44,27.26
326.93,26.595
320.07,26.595
320.07,25.93
314.59,26.595
333.78,26.595
332.41,26.595
333.78,25.598
337.9,26.927
347.49,27.592
363.95,29.919
370.8,28.257
374.92,28.922
376.29,27.592
366.69,26.595
373.55,28.257
383.14,29.255
374.92,30.584
381.77,30.252
365.32,27.26
359.83,26.927
369.43,30.917
379.03,29.587
376.29,29.919
384.52,28.59
377.66,28.922
368.06,28.59
373.55,28.922
368.06,27.592
377.66,27.592
369.43,28.257
381.77,30.584
373.55,28.59
376.29,29.919
372.18,29.587
369.43,30.252
359.83,28.59
361.21,30.252
368.06,30.252
369.43,30.252
357.09,27.26
352.98,29.587
377.66,30.252
376.29,28.59
368.06,27.26
352.98,26.263
370.8,27.592
372.18,27.925
381.77,28.257
376.29,27.592
365.32,27.925
362.58,28.257
401.01,30.584
380.4,28.257
391.37,30.584
381.77,30.252
396.86,29.587
390,30.252
405.28,31.582
398.23,30.252
405.28,27.925
373.55,28.922
366.69,27.26
370.8,30.917
372.18,28.922
350.24,27.26
357.09,26.595
355.72,28.922
350.24,27.925
332.41,28.922
304.99,27.592
300.88,28.257
311.84,28.257
287.12,28.257
274.64,28.257
259.9,28.59
251.96,24.6
241.75,25.93
231.55,23.603
212.27,22.606
202.06,22.938
197.55,22.273
184.1,20.279
170.64,18.617
162.79,19.281
157.19,17.952
141.49,17.619
132.52,15.625
125.79,14.96
117.94,13.962
108.97,14.627
105.61,13.63
96.809,12.965
87.234,12.3
82.979,12.965
74.468,12.965
65.957,11.303
61.702,10.97
55.319,9.3083
51.064,7.6461
45.745,5.6514
43.617,5.9839
39.362,5.319
35.106,5.9839
28.723,3.9893
26.596,2.3271
25.532,0.66488
22.34,0.33244
19.149,0
17.021,0
13.83,0
11.702,0
11.702,0
9.5745,0
8.5106,0
6.383,0
6.383,0
4.2553,0
4.2553,0
3.1915,0
1.0638,0
0,0
